sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
HG03299	male	SAME1839805	ESN	Esan	AFR	African Ancestry
HG03522	female	SAME1840193	ESN	Esan	AFR	African Ancestry
HG03302	male	SAME1839479	ESN	Esan	AFR	African Ancestry
HG03539	female	SAME1840014	GWD	Gambian Mandinka	AFR	African Ancestry
HG03307	male	SAME1839509	ESN	Esan	AFR	African Ancestry
HG03558	female	SAME1839561	MSL	Mende	AFR	African Ancestry
HG03585	male	SAME1839293	BEB	Bengali	SAS	South Asian Ancestry
HG03565	male	SAME1839430	MSL	Mende	AFR	African Ancestry
HG03600	male	SAME1840215	BEB	Bengali	SAS	South Asian Ancestry
HG03452	female	SAME1840046	MSL	Mende	AFR	African Ancestry
HG03605	female	SAME1840240	BEB	Bengali	SAS	South Asian Ancestry
HG03457	male	SAME1839781	MSL	Mende	AFR	African Ancestry
HG03314	male	SAME1839217	ESN	Esan	AFR	African Ancestry
HG03464	female	SAME1839827	MSL	Mende	AFR	African Ancestry
HG03352	male	SAME1840243	ESN	Esan	AFR	African Ancestry
HG03469	male	SAME1839850	MSL	Mende	AFR	African Ancestry
HG03787	female	SAME1840224	ITU	Telugu	SAS	South Asian Ancestry
HG03471	male	SAME1839677	MSL	Mende	AFR	African Ancestry
HG03794	male	SAME1839920	BEB	Bengali	SAS	South Asian Ancestry
HG03476	female	SAME1839702	MSL	Mende	AFR	African Ancestry
HG03799	female	SAME1839944	BEB	Bengali	SAS	South Asian Ancestry
HG03488	female	SAME1839486	PJL	Punjabi	SAS	South Asian Ancestry
HG03802	female	SAME1839608	BEB	Bengali	SAS	South Asian Ancestry
HG03490	male	SAME1839259	PJL	Punjabi	SAS	South Asian Ancestry
HG03807	female	SAME1839547	BEB	Bengali	SAS	South Asian Ancestry
HG03508	female	SAME1840286	ESN	Esan	AFR	African Ancestry
HG03732	male	SAME1839378	ITU	Telugu	SAS	South Asian Ancestry
HG03510	female	SAME1840377	ESN	Esan	AFR	African Ancestry
HG03744	male	SAME1839265	STU	Tamil	SAS	South Asian Ancestry
HG03394	male	SAME1839648	MSL	Mende	AFR	African Ancestry
HG03756	female	SAME1839080	STU	Tamil	SAS	South Asian Ancestry
HG03399	male	SAME1839410	MSL	Mende	AFR	African Ancestry
HG03869	male	SAME1840104	ITU	Telugu	SAS	South Asian Ancestry
HG03402	female	SAME1839301	MSL	Mende	AFR	African Ancestry
HG03871	male	SAME1840200	ITU	Telugu	SAS	South Asian Ancestry
HG03419	female	SAME1839130	MSL	Mende	AFR	African Ancestry
HG03876	male	SAME1839967	ITU	Telugu	SAS	South Asian Ancestry
HG03433	male	SAME1840110	MSL	Mende	AFR	African Ancestry
HG03888	female	SAME1840039	STU	Tamil	SAS	South Asian Ancestry
HG03438	female	SAME1840208	MSL	Mende	AFR	African Ancestry
HG03890	male	SAME1839864	STU	Tamil	SAS	South Asian Ancestry
HG03445	male	SAME1839996	MSL	Mende	AFR	African Ancestry
HG03895	female	SAME1839888	STU	Tamil	SAS	South Asian Ancestry
HG03572	female	SAME1839463	MSL	Mende	AFR	African Ancestry
HG03643	female	SAME1839633	STU	Tamil	SAS	South Asian Ancestry
HG03577	male	SAME1839242	MSL	Mende	AFR	African Ancestry
HG03650	female	SAME1839488	PJL	Punjabi	SAS	South Asian Ancestry
HG03584	female	SAME1839290	MSL	Mende	AFR	African Ancestry
HG03667	male	SAME1839331	PJL	Punjabi	SAS	South Asian Ancestry
HG03589	female	SAME1839311	BEB	Bengali	SAS	South Asian Ancestry
HG03679	male	SAME1839055	STU	Tamil	SAS	South Asian Ancestry
HG03596	male	SAME1839188	BEB	Bengali	SAS	South Asian Ancestry
HG03681	male	SAME1840321	STU	Tamil	SAS	South Asian Ancestry
HG03267	female	SAME1840088	ESN	Esan	AFR	African Ancestry
HG03706	female	SAME1839758	PJL	Punjabi	SAS	South Asian Ancestry
HG03279	female	SAME1839972	ESN	Esan	AFR	African Ancestry
HG03713	male	SAME1839807	ITU	Telugu	SAS	South Asian Ancestry
HG03293	male	SAME1839871	ESN	Esan	AFR	African Ancestry
HG03718	male	SAME1839834	ITU	Telugu	SAS	South Asian Ancestry
HG03298	male	SAME1839903	ESN	Esan	AFR	African Ancestry
HG03720	male	SAME1839562	ITU	Telugu	SAS	South Asian Ancestry
HG03301	male	SAME1839472	ESN	Esan	AFR	African Ancestry
HG03725	male	SAME1839680	ITU	Telugu	SAS	South Asian Ancestry
HG03363	female	SAME1839957	ESN	Esan	AFR	African Ancestry
HG03838	female	SAME1839297	STU	Tamil	SAS	South Asian Ancestry
HG03368	male	SAME1840074	ESN	Esan	AFR	African Ancestry
HG03840	male	SAME1839054	STU	Tamil	SAS	South Asian Ancestry
HG03370	male	SAME1839800	ESN	Esan	AFR	African Ancestry
HG03845	male	SAME1839170	STU	Tamil	SAS	South Asian Ancestry
HG03382	male	SAME1839580	MSL	Mende	AFR	African Ancestry
HG03857	female	SAME1840294	STU	Tamil	SAS	South Asian Ancestry
HG03306	female	SAME1839504	ESN	Esan	AFR	African Ancestry
HG03864	male	SAME1840170	ITU	Telugu	SAS	South Asian Ancestry
HG03313	male	SAME1839213	ESN	Esan	AFR	African Ancestry
HG03763	male	SAME1839122	PJL	Punjabi	SAS	South Asian Ancestry
HG03344	male	SAME1840364	ESN	Esan	AFR	African Ancestry
HG03770	female	SAME1840388	ITU	Telugu	SAS	South Asian Ancestry
HG03351	female	SAME1840231	ESN	Esan	AFR	African Ancestry
HG03775	male	SAME1840413	ITU	Telugu	SAS	South Asian Ancestry
HG03604	female	SAME1840236	BEB	Bengali	SAS	South Asian Ancestry
HG03782	female	SAME1840119	ITU	Telugu	SAS	South Asian Ancestry
HG03611	female	SAME1839929	BEB	Bengali	SAS	South Asian Ancestry
HG03686	male	SAME1840335	STU	Tamil	SAS	South Asian Ancestry
HG03616	female	SAME1839955	BEB	Bengali	SAS	South Asian Ancestry
HG03693	male	SAME1840372	STU	Tamil	SAS	South Asian Ancestry
HG03779	male	SAME1840351	ITU	Telugu	SAS	South Asian Ancestry
HG03698	female	SAME1840145	STU	Tamil	SAS	South Asian Ancestry
HG03781	female	SAME1840117	ITU	Telugu	SAS	South Asian Ancestry
HG03701	male	SAME1840016	PJL	Punjabi	SAS	South Asian Ancestry
HG03786	male	SAME1840218	ITU	Telugu	SAS	South Asian Ancestry
HG03814	female	SAME1839411	BEB	Bengali	SAS	South Asian Ancestry
HG03793	female	SAME1839915	BEB	Bengali	SAS	South Asian Ancestry
HG03821	male	SAME1839449	BEB	Bengali	SAS	South Asian Ancestry
HG03798	male	SAME1839941	BEB	Bengali	SAS	South Asian Ancestry
HG03826	female	SAME1839465	BEB	Bengali	SAS	South Asian Ancestry
HG03801	female	SAME1839606	BEB	Bengali	SAS	South Asian Ancestry
HG03833	male	SAME1839356	BEB	Bengali	SAS	South Asian Ancestry
HG03832	female	SAME1839353	BEB	Bengali	SAS	South Asian Ancestry
HG04076	female	SAME1840358	ITU	Telugu	SAS	South Asian Ancestry
HG03837	male	SAME1839291	STU	Tamil	SAS	South Asian Ancestry
HG04090	female	SAME1839927	ITU	Telugu	SAS	South Asian Ancestry
HG03844	male	SAME1839166	STU	Tamil	SAS	South Asian Ancestry
HG04115	male	SAME1839362	STU	Tamil	SAS	South Asian Ancestry
HG03849	female	SAME1839190	STU	Tamil	SAS	South Asian Ancestry
HG04122	male	SAME1839230	STU	Tamil	SAS	South Asian Ancestry
HG03851	male	SAME1840272	STU	Tamil	SAS	South Asian Ancestry
HG04127	male	SAME1839249	STU	Tamil	SAS	South Asian Ancestry
HG03856	male	SAME1840291	STU	Tamil	SAS	South Asian Ancestry
HG04134	male	SAME1839303	BEB	Bengali	SAS	South Asian Ancestry
HG03697	male	SAME1840137	STU	Tamil	SAS	South Asian Ancestry
HG04204	male	SAME1839437	STU	Tamil	SAS	South Asian Ancestry
HG03700	female	SAME1840010	PJL	Punjabi	SAS	South Asian Ancestry
HG04209	female	SAME1839452	ITU	Telugu	SAS	South Asian Ancestry
HG03705	male	SAME1840051	PJL	Punjabi	SAS	South Asian Ancestry
HG04211	male	SAME1839321	ITU	Telugu	SAS	South Asian Ancestry
HG03717	female	SAME1839831	ITU	Telugu	SAS	South Asian Ancestry
HG04216	female	SAME1839339	ITU	Telugu	SAS	South Asian Ancestry
HG03755	male	SAME1839074	STU	Tamil	SAS	South Asian Ancestry
HG04228	male	SAME1839161	STU	Tamil	SAS	South Asian Ancestry
HG03762	female	SAME1839119	PJL	Punjabi	SAS	South Asian Ancestry
HG04235	male	SAME1840263	ITU	Telugu	SAS	South Asian Ancestry
HG03767	male	SAME1839141	PJL	Punjabi	SAS	South Asian Ancestry
HG03903	female	SAME1839493	BEB	Bengali	SAS	South Asian Ancestry
HG03774	female	SAME1840408	ITU	Telugu	SAS	South Asian Ancestry
HG03908	male	SAME1839522	BEB	Bengali	SAS	South Asian Ancestry
HG03635	female	SAME1839578	PJL	Punjabi	SAS	South Asian Ancestry
HG03910	female	SAME1839205	BEB	Bengali	SAS	South Asian Ancestry
HG03642	female	SAME1839627	STU	Tamil	SAS	South Asian Ancestry
HG03915	female	SAME1839227	BEB	Bengali	SAS	South Asian Ancestry
HG03654	male	SAME1839513	PJL	Punjabi	SAS	South Asian Ancestry
HG03922	female	SAME1839103	BEB	Bengali	SAS	South Asian Ancestry
HG03863	female	SAME1840162	ITU	Telugu	SAS	South Asian Ancestry
HG04141	female	SAME1839178	BEB	Bengali	SAS	South Asian Ancestry
HG03868	female	SAME1840097	ITU	Telugu	SAS	South Asian Ancestry
HG04146	male	SAME1839108	BEB	Bengali	SAS	South Asian Ancestry
HG03870	male	SAME1840196	ITU	Telugu	SAS	South Asian Ancestry
HG04153	female	SAME1840299	BEB	Bengali	SAS	South Asian Ancestry
HG03875	male	SAME1839965	ITU	Telugu	SAS	South Asian Ancestry
HG04158	male	SAME1840400	BEB	Bengali	SAS	South Asian Ancestry
HG03882	female	SAME1839999	ITU	Telugu	SAS	South Asian Ancestry
HG04160	male	SAME1840179	BEB	Bengali	SAS	South Asian Ancestry
HG03887	male	SAME1840028	STU	Tamil	SAS	South Asian Ancestry
HG03953	male	SAME1840252	STU	Tamil	SAS	South Asian Ancestry
HG03673	female	SAME1839030	STU	Tamil	SAS	South Asian Ancestry
HG03960	male	SAME1839945	ITU	Telugu	SAS	South Asian Ancestry
HG03680	male	SAME1840311	STU	Tamil	SAS	South Asian Ancestry
HG03965	male	SAME1840063	ITU	Telugu	SAS	South Asian Ancestry
HG03685	male	SAME1840333	STU	Tamil	SAS	South Asian Ancestry
HG03972	female	SAME1839721	ITU	Telugu	SAS	South Asian Ancestry
HG03692	female	SAME1840371	STU	Tamil	SAS	South Asian Ancestry
HG03977	female	SAME1839746	ITU	Telugu	SAS	South Asian Ancestry
HG03729	male	SAME1839701	ITU	Telugu	SAS	South Asian Ancestry
HG03989	female	SAME1839532	STU	Tamil	SAS	South Asian Ancestry
HG03731	female	SAME1839372	ITU	Telugu	SAS	South Asian Ancestry
HG03991	male	SAME1839640	STU	Tamil	SAS	South Asian Ancestry
HG03736	female	SAME1839389	STU	Tamil	SAS	South Asian Ancestry
HG04002	male	SAME1839769	ITU	Telugu	SAS	South Asian Ancestry
HG03743	male	SAME1839261	STU	Tamil	SAS	South Asian Ancestry
HG04014	female	SAME1839844	ITU	Telugu	SAS	South Asian Ancestry
HG03750	male	SAME1839309	STU	Tamil	SAS	South Asian Ancestry
HG04019	male	SAME1839572	ITU	Telugu	SAS	South Asian Ancestry
HG03806	male	SAME1839542	BEB	Bengali	SAS	South Asian Ancestry
HG04026	female	SAME1839622	ITU	Telugu	SAS	South Asian Ancestry
HG03813	female	SAME1839406	BEB	Bengali	SAS	South Asian Ancestry
HG04033	male	SAME1839466	STU	Tamil	SAS	South Asian Ancestry
HG03825	female	SAME1839462	BEB	Bengali	SAS	South Asian Ancestry
HG04177	female	SAME1839992	BEB	Bengali	SAS	South Asian Ancestry
HG04063	female	SAME1839155	ITU	Telugu	SAS	South Asian Ancestry
HG04184	female	SAME1840049	BEB	Bengali	SAS	South Asian Ancestry
HG04070	female	SAME1840411	ITU	Telugu	SAS	South Asian Ancestry
HG04189	female	SAME1839783	BEB	Bengali	SAS	South Asian Ancestry
HG04075	female	SAME1840359	STU	Tamil	SAS	South Asian Ancestry
HG04191	male	SAME1839897	BEB	Bengali	SAS	South Asian Ancestry
HG04094	male	SAME1839953	ITU	Telugu	SAS	South Asian Ancestry
HG03927	female	SAME1839035	BEB	Bengali	SAS	South Asian Ancestry
HG04099	female	SAME1840065	STU	Tamil	SAS	South Asian Ancestry
HG03934	female	SAME1840318	BEB	Bengali	SAS	South Asian Ancestry
HG04107	male	SAME1839660	STU	Tamil	SAS	South Asian Ancestry
HG03939	female	SAME1840336	BEB	Bengali	SAS	South Asian Ancestry
HG04114	male	SAME1839363	STU	Tamil	SAS	South Asian Ancestry
HG03941	male	SAME1840353	BEB	Bengali	SAS	South Asian Ancestry
HG03988	male	SAME1839528	STU	Tamil	SAS	South Asian Ancestry
HG04038	female	SAME1839499	STU	Tamil	SAS	South Asian Ancestry
HG03990	male	SAME1839637	STU	Tamil	SAS	South Asian Ancestry
HG04040	male	SAME1839197	STU	Tamil	SAS	South Asian Ancestry
HG03995	female	SAME1839395	STU	Tamil	SAS	South Asian Ancestry
NA12828	female	SAME125076	CEU	CEPH	EUR	European Ancestry
HG04001	female	SAME1839752	ITU	Telugu	SAS	South Asian Ancestry
NA12830	female	SAME125289	CEU	CEPH	EUR	European Ancestry
HG04006	male	SAME1839787	STU	Tamil	SAS	South Asian Ancestry
NA12842	male	SAME123542	CEU	CEPH	EUR	European Ancestry
HG04018	female	SAME1839565	ITU	Telugu	SAS	South Asian Ancestry
NA12873	female	SAME123388	CEU	CEPH	EUR	European Ancestry
HG04020	male	SAME1839685	ITU	Telugu	SAS	South Asian Ancestry
NA12878	female	SAME123392	CEU	CEPH	EUR	European Ancestry
HG03894	female	SAME1839885	STU	Tamil	SAS	South Asian Ancestry
NA12892	female	SAME123181	CEU	CEPH	EUR	European Ancestry
HG03899	male	SAME1839814	STU	Tamil	SAS	South Asian Ancestry
NA18484	female	SAME124101	YRI	Yoruba	AFR	African Ancestry
HG03902	male	SAME1839484	BEB	Bengali	SAS	South Asian Ancestry
NA18489	female	SAME124102	YRI	Yoruba	AFR	African Ancestry
HG03907	female	SAME1839517	BEB	Bengali	SAS	South Asian Ancestry
NA18504	male	SAME125061	YRI	Yoruba	AFR	African Ancestry
HG03914	male	SAME1839224	BEB	Bengali	SAS	South Asian Ancestry
NA18509	male	SAME125066	YRI	Yoruba	AFR	African Ancestry
HG04195	female	SAME1839823	BEB	Bengali	SAS	South Asian Ancestry
NA18511	female	SAME124885	YRI	Yoruba	AFR	African Ancestry
HG04208	female	SAME1839453	STU	Tamil	SAS	South Asian Ancestry
NA18516	male	SAME124884	YRI	Yoruba	AFR	African Ancestry
HG04210	male	SAME1839225	STU	Tamil	SAS	South Asian Ancestry
NA10860	male	SAME125131	CEU	CEPH	EUR	European Ancestry
HG04215	male	SAME1839333	STU	Tamil	SAS	South Asian Ancestry
NA10865	male	SAME125128	CEU	CEPH	EUR	European Ancestry
HG04164	male	SAME1840102	BEB	Bengali	SAS	South Asian Ancestry
NA11832	female	SAME124554	CEU	CEPH	EUR	European Ancestry
HG04171	female	SAME1839968	BEB	Bengali	SAS	South Asian Ancestry
NA11882	female	SAME123210	CEU	CEPH	EUR	European Ancestry
HG04176	male	SAME1839986	BEB	Bengali	SAS	South Asian Ancestry
NA11894	female	SAME123043	CEU	CEPH	EUR	European Ancestry
HG04183	female	SAME1840044	BEB	Bengali	SAS	South Asian Ancestry
NA11919	male	SAME122834	CEU	CEPH	EUR	European Ancestry
HG04188	male	SAME1839771	BEB	Bengali	SAS	South Asian Ancestry
NA11933	female	SAME125098	CEU	CEPH	EUR	European Ancestry
HG04133	female	SAME1839294	BEB	Bengali	SAS	South Asian Ancestry
NA11995	female	SAME123968	CEU	CEPH	EUR	European Ancestry
HG04140	male	SAME1839173	BEB	Bengali	SAS	South Asian Ancestry
NA12006	female	SAME125145	CEU	CEPH	EUR	European Ancestry
HG04152	male	SAME1840300	BEB	Bengali	SAS	South Asian Ancestry
NA12044	female	SAME123212	CEU	CEPH	EUR	European Ancestry
HG04157	male	SAME1840395	BEB	Bengali	SAS	South Asian Ancestry
NA12056	male	SAME123414	CEU	CEPH	EUR	European Ancestry
HG03919	female	SAME1839329	BEB	Bengali	SAS	South Asian Ancestry
NA12145	female	SAME124157	CEU	CEPH	EUR	European Ancestry
HG03926	male	SAME1839033	BEB	Bengali	SAS	South Asian Ancestry
NA12234	female	SAME124003	CEU	CEPH	EUR	European Ancestry
HG03940	female	SAME1840346	BEB	Bengali	SAS	South Asian Ancestry
NA12239	female	SAME123999	CEU	CEPH	EUR	European Ancestry
HG03945	female	SAME1840369	STU	Tamil	SAS	South Asian Ancestry
NA12272	male	SAME123231	CEU	CEPH	EUR	European Ancestry
HG03969	male	SAME1840082	ITU	Telugu	SAS	South Asian Ancestry
NA18523	female	SAME124670	YRI	Yoruba	AFR	African Ancestry
HG03971	male	SAME1839718	ITU	Telugu	SAS	South Asian Ancestry
NA18528	female	SAME124661	CHB	Han Chinese	EAS	East Asian Ancestry
HG03976	male	SAME1839739	ITU	Telugu	SAS	South Asian Ancestry
NA18530	male	SAME124484	CHB	Han Chinese	EAS	East Asian Ancestry
HG04025	female	SAME1839614	ITU	Telugu	SAS	South Asian Ancestry
NA18535	female	SAME124487	CHB	Han Chinese	EAS	East Asian Ancestry
HG04037	female	SAME1839500	STU	Tamil	SAS	South Asian Ancestry
NA18542	female	SAME124267	CHB	Han Chinese	EAS	East Asian Ancestry
HG04056	male	SAME1839102	ITU	Telugu	SAS	South Asian Ancestry
NA18547	female	SAME124264	CHB	Han Chinese	EAS	East Asian Ancestry
NA18503	male	SAME125056	YRI	Yoruba	AFR	African Ancestry
NA18559	male	SAME124093	CHB	Han Chinese	EAS	East Asian Ancestry
NA18508	female	SAME124318	YRI	Yoruba	AFR	African Ancestry
NA18561	male	SAME123926	CHB	Han Chinese	EAS	East Asian Ancestry
NA18510	male	SAME124886	YRI	Yoruba	AFR	African Ancestry
NA18566	female	SAME123923	CHB	Han Chinese	EAS	East Asian Ancestry
NA18515	male	SAME124881	YRI	Yoruba	AFR	African Ancestry
NA18573	female	SAME123738	CHB	Han Chinese	EAS	East Asian Ancestry
NA18522	male	SAME124669	YRI	Yoruba	AFR	African Ancestry
NA18592	female	SAME123721	CHB	Han Chinese	EAS	East Asian Ancestry
NA18527	female	SAME124674	CHB	Han Chinese	EAS	East Asian Ancestry
NA18597	female	SAME123232	CHB	Han Chinese	EAS	East Asian Ancestry
NA18534	male	SAME124488	CHB	Han Chinese	EAS	East Asian Ancestry
NA18605	male	SAME124877	CHB	Han Chinese	EAS	East Asian Ancestry
NA18539	female	SAME124475	CHB	Han Chinese	EAS	East Asian Ancestry
NA18612	male	SAME125036	CHB	Han Chinese	EAS	East Asian Ancestry
NA18541	female	SAME124270	CHB	Han Chinese	EAS	East Asian Ancestry
NA18617	female	SAME125033	CHB	Han Chinese	EAS	East Asian Ancestry
NA18546	male	SAME124263	CHB	Han Chinese	EAS	East Asian Ancestry
NA18624	male	SAME124506	CHB	Han Chinese	EAS	East Asian Ancestry
NA18553	female	SAME124088	CHB	Han Chinese	EAS	East Asian Ancestry
NA18876	female	SAME125103	YRI	Yoruba	AFR	African Ancestry
NA18558	male	SAME124094	CHB	Han Chinese	EAS	East Asian Ancestry
NA18908	male	SAME123560	YRI	Yoruba	AFR	African Ancestry
NA18560	female	SAME123925	CHB	Han Chinese	EAS	East Asian Ancestry
NA18910	male	SAME123402	YRI	Yoruba	AFR	African Ancestry
NA18565	female	SAME123922	CHB	Han Chinese	EAS	East Asian Ancestry
NA18915	male	SAME123405	YRI	Yoruba	AFR	African Ancestry
NA18572	male	SAME123739	CHB	Han Chinese	EAS	East Asian Ancestry
NA18934	male	SAME123036	YRI	Yoruba	AFR	African Ancestry
NA18933	female	SAME123037	YRI	Yoruba	AFR	African Ancestry
NA18939	female	SAME123041	JPT	Japanese	EAS	East Asian Ancestry
NA18940	male	SAME124310	JPT	Japanese	EAS	East Asia 
NA18941	female	SAME124311	JPT	Japanese	EAS	East Asian Ancestry
NA18945	male	SAME124315	JPT	Japanese	EAS	East Asian Ancestry
NA18946	female	SAME124312	JPT	Japanese	EAS	East Asian Ancestry
NA18952	male	SAME124114	JPT	Japanese	EAS	East Asian Ancestry
NA18953	male	SAME124113	JPT	Japanese	EAS	East Asian Ancestry
NA18957	female	SAME124109	JPT	Japanese	EAS	East Asian Ancestry
NA18960	male	SAME123956	JPT	Japanese	EAS	East Asian Ancestry
NA18964	female	SAME123960	JPT	Japanese	EAS	East Asian Ancestry
NA18629	male	SAME124501	CHB	Han Chinese	EAS	East Asian Ancestry
NA18969	female	SAME123954	JPT	Japanese	EAS	East Asian Ancestry
NA18631	female	SAME124056	CHB	Han Chinese	EAS	East Asian Ancestry
NA18971	male	SAME123763	JPT	Japanese	EAS	East Asian Ancestry
NA18636	male	SAME124320	CHB	Han Chinese	EAS	East Asian Ancestry
NA18976	female	SAME123766	JPT	Japanese	EAS	East Asian Ancestry
NA18643	male	SAME122981	CHB	Han Chinese	EAS	East Asian Ancestry
NA18983	male	SAME125074	JPT	Japanese	EAS	East Asian Ancestry
NA18648	male	SAME122974	CHB	Han Chinese	EAS	East Asian Ancestry
NA18988	male	SAME125078	JPT	Japanese	EAS	East Asian Ancestry
NA18749	male	SAME123910	CHB	Han Chinese	EAS	East Asian Ancestry
NA18990	male	SAME124893	JPT	Japanese	EAS	East Asian Ancestry
NA18794	male	SAME124989	CHB	Han Chinese	EAS	East Asian Ancestry
NA18995	male	SAME124896	JPT	Japanese	EAS	East Asian Ancestry
NA18852	female	SAME124732	YRI	Yoruba	AFR	African Ancestry
NA19001	female	SAME124478	JPT	Japanese	EAS	East Asian Ancestry
NA18857	male	SAME124737	YRI	Yoruba	AFR	African Ancestry
NA19006	male	SAME125119	JPT	Japanese	EAS	East Asian Ancestry
NA18864	female	SAME124903	YRI	Yoruba	AFR	African Ancestry
NA10852	female	SAME125320	CEU	CEPH	EUR	European Ancestry
NA18869	male	SAME124909	YRI	Yoruba	AFR	African Ancestry
NA10857	male	SAME125332	CEU	CEPH	EUR	European Ancestry
NA18871	male	SAME125102	YRI	Yoruba	AFR	African Ancestry
NA10864	female	SAME125129	CEU	CEPH	EUR	European Ancestry
NA12335	male	SAME124097	CEU	CEPH	EUR	European Ancestry
NA11829	male	SAME124761	CEU	CEPH	EUR	European Ancestry
NA12342	male	SAME125155	CEU	CEPH	EUR	European Ancestry
NA11831	male	SAME124552	CEU	CEPH	EUR	European Ancestry
NA12347	male	SAME125316	CEU	CEPH	EUR	European Ancestry
NA11843	male	SAME125140	CEU	CEPH	EUR	European Ancestry
NA12400	female	SAME123881	CEU	CEPH	EUR	European Ancestry
NA11881	male	SAME123209	CEU	CEPH	EUR	European Ancestry
NA12708	female	SAME124078	CEU	CEPH	EUR	European Ancestry
NA11893	male	SAME123044	CEU	CEPH	EUR	European Ancestry
NA12739	male	SAME123529	CEU	CEPH	EUR	European Ancestry
NA11918	female	SAME123135	CEU	CEPH	EUR	European Ancestry
NA12753	female	SAME124647	CEU	CEPH	EUR	European Ancestry
NA11920	female	SAME124901	CEU	CEPH	EUR	European Ancestry
NA12760	male	SAME124465	CEU	CEPH	EUR	European Ancestry
NA11932	male	SAME125097	CEU	CEPH	EUR	European Ancestry
NA12777	male	SAME125252	CEU	CEPH	EUR	European Ancestry
NA11994	male	SAME123967	CEU	CEPH	EUR	European Ancestry
NA18965	male	SAME123961	JPT	Japanese	EAS	East Asian Ancestry
NA12005	male	SAME125143	CEU	CEPH	EUR	European Ancestry
NA18972	female	SAME123762	JPT	Japanese	EAS	East Asian Ancestry
NA12043	male	SAME123214	CEU	CEPH	EUR	European Ancestry
NA18977	male	SAME123765	JPT	Japanese	EAS	East Asian Ancestry
NA18577	female	SAME123734	CHB	Han Chinese	EAS	East Asian Ancestry
NA18984	male	SAME125071	JPT	Japanese	EAS	East Asian Ancestry
NA18591	female	SAME123719	CHB	Han Chinese	EAS	East Asian Ancestry
NA18989	male	SAME125079	JPT	Japanese	EAS	East Asian Ancestry
NA18596	female	SAME123718	CHB	Han Chinese	EAS	East Asian Ancestry
NA18991	female	SAME124892	JPT	Japanese	EAS	East Asian Ancestry
NA18609	male	SAME124867	CHB	Han Chinese	EAS	East Asian Ancestry
NA19002	female	SAME124479	JPT	Japanese	EAS	East Asian Ancestry
NA18611	male	SAME123225	CHB	Han Chinese	EAS	East Asian Ancestry
NA19007	male	SAME124476	JPT	Japanese	EAS	East Asian Ancestry
NA18616	female	SAME125032	CHB	Han Chinese	EAS	East Asian Ancestry
NA19019	female	SAME124000	LWK	Luhya	AFR	African Ancestry
NA18623	male	SAME124507	CHB	Han Chinese	EAS	East Asian Ancestry
NA19026	male	SAME124849	LWK	Luhya	AFR	African Ancestry
NA18628	female	SAME124502	CHB	Han Chinese	EAS	East Asian Ancestry
NA06984	male	SAME124763	CEU	CEPH	EUR	European Ancestry
NA18630	female	SAME124895	CHB	Han Chinese	EAS	East Asian Ancestry
NA06989	female	SAME124760	CEU	CEPH	EUR	European Ancestry
NA18635	male	SAME123661	CHB	Han Chinese	EAS	East Asian Ancestry
NA06991	female	SAME124936	CEU	CEPH	EUR	European Ancestry
NA18642	female	SAME122982	CHB	Han Chinese	EAS	East Asian Ancestry
NA07014	female	SAME125162	CEU	CEPH	EUR	European Ancestry
NA18647	male	SAME122977	CHB	Han Chinese	EAS	East Asian Ancestry
NA07019	female	SAME125152	CEU	CEPH	EUR	European Ancestry
NA18748	male	SAME123909	CHB	Han Chinese	EAS	East Asian Ancestry
NA07045	female	SAME124187	CEU	CEPH	EUR	European Ancestry
NA18856	male	SAME124736	YRI	Yoruba	AFR	African Ancestry
NA07348	female	SAME123567	CEU	CEPH	EUR	European Ancestry
NA12752	male	SAME123518	CEU	CEPH	EUR	European Ancestry
NA10839	female	SAME124551	CEU	CEPH	EUR	European Ancestry
NA12776	female	SAME124256	CEU	CEPH	EUR	European Ancestry
NA10846	male	SAME124758	CEU	CEPH	EUR	European Ancestry
NA12815	female	SAME123022	CEU	CEPH	EUR	European Ancestry
NA10853	male	SAME124932	CEU	CEPH	EUR	European Ancestry
NA12827	male	SAME125077	CEU	CEPH	EUR	European Ancestry
NA19103	male	SAME124330	YRI	Yoruba	AFR	African Ancestry
NA12865	female	SAME123190	CEU	CEPH	EUR	European Ancestry
NA19108	female	SAME125378	YRI	Yoruba	AFR	African Ancestry
NA12872	male	SAME123387	CEU	CEPH	EUR	European Ancestry
NA19115	female	SAME123857	YRI	Yoruba	AFR	African Ancestry
NA12877	male	SAME123391	CEU	CEPH	EUR	European Ancestry
NA19122	female	SAME125014	YRI	Yoruba	AFR	African Ancestry
NA12889	male	SAME123951	CEU	CEPH	EUR	European Ancestry
NA19127	female	SAME125017	YRI	Yoruba	AFR	African Ancestry
NA12891	male	SAME124117	CEU	CEPH	EUR	European Ancestry
NA19139	male	SAME125237	YRI	Yoruba	AFR	African Ancestry
NA18488	female	SAME124103	YRI	Yoruba	AFR	African Ancestry
NA19141	male	SAME124607	YRI	Yoruba	AFR	African Ancestry
NA12144	male	SAME124156	CEU	CEPH	EUR	European Ancestry
NA19146	male	SAME125080	YRI	Yoruba	AFR	African Ancestry
NA12156	female	SAME124952	CEU	CEPH	EUR	European Ancestry
NA19153	male	SAME123019	YRI	Yoruba	AFR	African Ancestry
NA12264	male	SAME123087	CEU	CEPH	EUR	European Ancestry
